"Table S10. Concentrations of individual PFAS (ng/L) detected in tapwater samples collected from public supply and private wells, 2016-2021. Also included are the number of PFAS detected in each sample and the sum of detected PFAS (∑PFAS; ng/L), cumulative exposure activity ratios (∑EAR), and toxicity quotients (∑TQ). Note only samples with PFAS detections are reported. For information on the total number of samples collected and for a complete list of compounds analyzed and their detection limits see Table S3. For information on individual studies see Table S1. [NA; not analyzed, nd; not detected, ng/L; nanogram per liter, '-'; ∑EAR not analyzed because there were no ToxCast activity cutoff concentrations for the detected PFAS.",,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Study,State,Site Type,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFDS,PFPrS,6:2 FTS,FOSA,"HFPO-DA; GenX","Count Detected PFAS",∑PFAS,∑EAR,∑TQ,
IST DE_10_Priv,PFAS Recon,DE,Private,nd,nd,5.58,5.20,nd,nd,nd,nd,nd,23.2,nd,nd,nd,NA,nd,nd,nd,3,34.0,0.03548,14.1,
IST DE_2_Priv,PFAS Recon,DE,Private,nd,2.30,3.60,nd,3.70,nd,nd,4.00,nd,nd,nd,nd,nd,NA,nd,nd,nd,4,13.6,0.02369,1000,
IST DE_11_Pub,PFAS Recon,DE,Public,nd,18.5,16.3,8.00,10.8,nd,nd,5.19,nd,2.52,nd,nd,nd,NA,nd,nd,nd,6,61.3,0.09473,2755,
IST DE_5_Pub,PFAS Recon,DE,Public,nd,5.71,nd,nd,4.25,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,9.95,0.00006,1000,
IST FL_3_Pub,PFAS Recon,FL,Public,nd,nd,nd,nd,nd,nd,nd,3.60,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.60,0.00001,0.040,
IST FL_8_Pub,PFAS Recon,FL,Public,nd,14.9,12.0,5.90,6.00,2.10,nd,8.39,6.94,34.3,nd,24.4,nd,NA,nd,nd,nd,9,115,0.08414,2721,
Recon91210300018,TW Recon,FL,Public,nd,nd,1.51,nd,nd,0.670,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,2,2.18,0.00896,0.351,
Recon91210300019,TW Recon,FL,Public,1.71,nd,1.22,nd,nd,nd,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,2,2.93,0.00718,0.014,
IST GA_3_Pub,PFAS Recon,GA,Public,nd,nd,nd,nd,nd,nd,nd,1.83,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,1.83,0.00001,0.020,
IST GA_5_Pub,PFAS Recon,GA,Public,nd,nd,nd,nd,nd,nd,nd,3.83,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.83,0.00001,0.040,
IST GA_7_Pub,PFAS Recon,GA,Public,nd,nd,1.19,nd,nd,nd,nd,1.80,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,2.99,0.00591,0.031,
IST GA_9_Pub,PFAS Recon,GA,Public,nd,nd,nd,nd,nd,nd,nd,3.10,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.10,0.00001,0.030,
IA415800091020003,Northeast Iowa,IA,Private,5.21,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,5.21,0.00001,0.003,
IA415800091020007,Northeast Iowa,IA,Private,5.26,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,5.26,0.00001,0.003,
IA420200091180012,Northeast Iowa,IA,Private,6.27,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,6.27,0.00001,0.003,
IA420200091180018,Northeast Iowa,IA,Private,3.32,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.32,0.00001,0.002,
IA420200091180023,Northeast Iowa,IA,Private,3.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.08,0.00001,0.002,
IA420200091180024,Northeast Iowa,IA,Private,3.59,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.59,0.00001,0.002,
IST IA_10_Pub,PFAS Recon,IA,Public,18.8,nd,nd,nd,5.30,nd,nd,2.78,nd,nd,nd,4.46,nd,NA,nd,nd,nd,4,31.3,0.00225,1450,
IST IA_4_Pub,PFAS Recon,IA,Public,nd,nd,nd,nd,nd,nd,nd,2.53,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,2.53,0.00001,0.020,
Recon413922091320201,TW Recon,IA,Public,nd,nd,1.36,nd,nd,0.717,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,2,2.08,0.00805,0.373,
Recon413922091320202,TW Recon,IA,Public,2.02,nd,0.713,nd,nd,0.865,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,3,3.59,0.00423,0.441,
Recon414027091202300,TW Recon,IA,Public,2.40,nd,1.17,nd,nd,0.826,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,3,4.40,0.00696,0.427,
CP414100087320001,Chicago,IL,Public,nd,NA,4.12,nd,14.0,nd,NA,nd,nd,0.900,nd,3.77,NA,nd,nd,nd,NA,4,22.8,0.02659,3689,
CP414200087400002,Chicago,IL,Public,nd,NA,nd,nd,3.05,nd,NA,nd,0.0590,0.849,nd,nd,NA,nd,nd,nd,NA,3,3.95,0.00004,762,
CP414300087320001,Chicago,IL,Public,nd,NA,nd,0.600,nd,nd,NA,nd,nd,0.800,nd,nd,NA,nd,nd,nd,NA,2,1.40,0.00001,0.700,
CP414300087330001,Chicago,IL,Public,nd,NA,nd,0.640,nd,nd,NA,0.443,nd,0.640,nd,4.24,NA,nd,nd,nd,NA,4,5.96,0.00231,213,
CP414400087440001,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,0.464,0.0700,0.991,0.0723,nd,NA,0.175,nd,nd,NA,4,1.60,0.00001,0.504,
CP414500087320010,Chicago,IL,Public,nd,NA,nd,nd,3.23,nd,NA,nd,0.179,1.06,0.0578,nd,NA,0.118,nd,nd,NA,4,4.53,0.00004,809,
CP414600087390001,Chicago,IL,Public,nd,NA,nd,nd,3.23,nd,NA,0.456,0.107,0.979,nd,nd,NA,0.0930,nd,nd,NA,4,4.77,0.00004,808,
CP414700087340001,Chicago,IL,Public,nd,NA,nd,nd,2.90,nd,NA,nd,0.110,1.10,0.0629,nd,NA,0.0717,nd,nd,NA,4,4.17,0.00004,724,
CP414700087350001,Chicago,IL,Public,nd,NA,nd,nd,3.12,nd,NA,0.479,0.140,1.13,0.0423,nd,NA,nd,nd,nd,NA,5,4.91,0.00004,780,
CP414700087350002,Chicago,IL,Public,nd,NA,nd,nd,2.96,nd,NA,0.453,0.153,1.23,nd,nd,NA,nd,nd,nd,NA,4,4.80,0.00004,741,
CP414700087350003,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,0.445,0.0800,1.23,nd,nd,NA,0.276,nd,nd,NA,3,1.75,0.00001,0.617,
CP414700087350004,Chicago,IL,Public,nd,NA,nd,nd,2.90,nd,NA,0.458,0.0540,1.00,nd,nd,NA,0.0249,nd,nd,NA,4,4.41,0.00004,724,
CP414800087350001,Chicago,IL,Public,nd,NA,nd,nd,3.08,nd,NA,0.523,0.0900,1.14,nd,nd,NA,0.108,nd,nd,NA,4,4.83,0.00004,771,
CP414800087360001,Chicago,IL,Public,nd,NA,nd,nd,2.76,nd,NA,nd,0.122,0.901,nd,nd,NA,0.0472,nd,nd,NA,3,3.78,0.00004,690,
CP414800087360002,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,0.498,0.139,1.09,nd,nd,NA,0.306,nd,nd,NA,3,1.73,0.00001,0.550,
CP414900087360001,Chicago,IL,Public,nd,NA,nd,nd,2.75,nd,NA,nd,0.0900,1.06,nd,nd,NA,nd,nd,nd,NA,3,3.90,0.00004,689,
CP415300087360010,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,0.443,0.0900,0.984,nd,nd,NA,0.0715,nd,nd,NA,3,1.52,0.00001,0.525,
CP415400087410001,Chicago,IL,Public,nd,NA,nd,nd,3.10,nd,NA,nd,nd,1.13,nd,nd,NA,0.0591,nd,nd,NA,2,4.22,0.00004,775,
CP415400087420001,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,0.449,nd,0.710,nd,nd,NA,nd,nd,nd,NA,2,1.16,0.00001,0.359,
CP415400087420002,Chicago,IL,Public,nd,NA,nd,0.940,1.97,nd,NA,0.390,nd,1.06,nd,nd,NA,nd,nd,nd,NA,4,4.36,0.00003,494,
CP415500087410001,Chicago,IL,Public,nd,NA,nd,0.680,nd,nd,NA,nd,nd,0.520,nd,nd,NA,nd,nd,nd,NA,2,1.20,0.00001,0.600,
CP415500087410002,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,nd,nd,1.06,nd,nd,NA,0.0872,nd,nd,NA,1,1.06,0.00001,0.531,
CP415500087420001,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,nd,nd,0.830,0.101,nd,NA,0.0671,2.47,nd,NA,3,3.40,0.00001,0.444,
CP415500087460001,Chicago,IL,Public,22.8,NA,nd,nd,3.11,nd,NA,nd,0.104,1.00,0.0446,nd,NA,0.0521,nd,nd,NA,5,27.1,0.00004,777,
CP415600087380001,Chicago,IL,Public,nd,NA,nd,0.670,nd,nd,NA,nd,nd,0.530,nd,nd,NA,nd,nd,nd,NA,2,1.20,0.00001,0.600,
CP415700087410001,Chicago,IL,Public,nd,NA,nd,0.600,nd,nd,NA,nd,nd,0.750,nd,nd,NA,nd,nd,nd,NA,2,1.35,0.00001,0.675,
CP415700087440001,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,0.400,nd,0.777,nd,nd,NA,nd,nd,nd,NA,2,1.18,0.00001,0.393,
CP415800087390001,Chicago,IL,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.0500,0.963,0.0753,nd,NA,0.0381,nd,nd,NA,3,1.09,0.00001,0.485,
CP415800087390002,Chicago,IL,Public,9.11,NA,nd,nd,nd,nd,NA,nd,0.220,0.994,0.0584,nd,NA,0.0961,nd,nd,NA,4,10.4,0.00001,0.504,
CP415800087420001,Chicago,IL,Public,nd,NA,nd,nd,3.30,nd,NA,nd,0.147,1.16,0.0468,nd,NA,nd,nd,nd,NA,4,4.66,0.00005,826,
CP420000087380001,Chicago,IL,Public,nd,NA,nd,nd,2.94,nd,NA,nd,0.0600,1.02,0.0564,nd,NA,0.156,nd,nd,NA,4,4.07,0.00004,735,
IST IL_10_Pub,PFAS Recon,IL,Public,nd,nd,nd,nd,nd,1.20,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,1.20,0.00002,0.500,
IST IL_4_Pub,PFAS Recon,IL,Public,nd,nd,nd,nd,nd,1.86,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,1.86,0.00004,1.00,
IST IL_9_Pub,PFAS Recon,IL,Public,nd,nd,nd,nd,nd,1.66,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,1.66,0.00004,1.00,
CP413700087260001,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.463,0.204,1.03,0.0950,nd,NA,0.140,2.77,nd,NA,5,4.56,0.00001,0.552,
CP413700087270001,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.553,0.183,1.18,0.113,nd,NA,0.0520,nd,nd,NA,4,2.03,0.00001,0.601,
CP413700087270002,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.0800,0.267,nd,nd,NA,nd,nd,nd,NA,2,0.347,0.00001,0.134,
CP413700087270003,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.712,0.212,0.985,nd,nd,NA,nd,2.40,nd,NA,4,4.30,0.00001,0.524,
CP413700087270004,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.572,0.209,0.698,nd,nd,NA,0.130,nd,nd,NA,3,1.48,0.00001,0.354,
CP413700087280001,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.583,0.238,1.21,0.110,nd,NA,nd,nd,nd,NA,4,2.14,0.00001,0.614,
CP413700087280002,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.328,0.970,nd,nd,NA,0.161,nd,nd,NA,2,1.30,0.00001,0.485,
CP413800087260001,Chicago,IN,Public,nd,NA,2.68,1.11,nd,nd,NA,0.602,nd,1.00,nd,nd,NA,nd,nd,nd,NA,4,5.40,0.01584,1.09,
CP413800087260002,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.173,0.785,nd,nd,NA,0.0914,nd,nd,NA,2,0.958,0.00001,0.392,
CP413800087260003,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.849,0.214,0.898,nd,nd,NA,nd,2.36,nd,NA,4,4.32,0.00001,0.481,
CP413800087260004,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.174,1.06,nd,nd,NA,nd,2.57,nd,NA,3,3.80,0.00001,0.553,
CP413800087270001,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.278,0.879,0.0967,nd,NA,nd,nd,nd,NA,3,1.25,0.00001,0.444,
CP413800087270002,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.563,0.0840,1.11,nd,nd,NA,nd,nd,nd,NA,3,1.75,0.00001,0.560,
CP413800087280001,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.491,0.238,1.02,nd,nd,NA,nd,nd,nd,NA,3,1.75,0.00001,0.515,
CP413800087280002,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,nd,0.240,1.04,nd,nd,NA,nd,2.48,nd,NA,3,3.76,0.00001,0.543,
CP413900087260004,Chicago,IN,Public,nd,NA,nd,nd,nd,nd,NA,0.447,0.260,1.00,0.0831,nd,NA,0.0680,2.54,nd,NA,5,4.33,0.00001,0.560,
IST IN_3_Pub,PFAS Recon,IN,Public,nd,2.30,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,2.30,-,0.022,
IST IN_9_Pub,PFAS Recon,IN,Public,nd,5.10,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,5.10,-,0.054,
IST KS_1_Priv,PFAS Recon,KS,Private,16.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,16.2,0.00001,0.008,
IST KS_14_Priv,PFAS Recon,KS,Private,nd,nd,nd,nd,2.20,nd,nd,3.60,nd,2.62,nd,5.39,nd,NA,nd,nd,nd,4,13.8,0.00275,752,
IST KS_10_Pub,PFAS Recon,KS,Public,38.8,nd,nd,nd,3.45,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,42.3,0.00006,1000,
IST KS_7_Pub,PFAS Recon,KS,Public,nd,nd,nd,nd,nd,nd,nd,nd,nd,2.29,nd,nd,nd,NA,nd,nd,nd,1,2.29,0.00001,1.00,
IST KS_8_Pub,PFAS Recon,KS,Public,12.1,nd,nd,nd,nd,nd,nd,2.42,nd,1.57,nd,nd,nd,NA,nd,nd,nd,3,16.1,0.00001,1.03,
Recon06891503,TW Recon,KS,Public,4.57,nd,2.91,nd,nd,nd,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,2,7.48,0.01720,0.034,
Recon385910095133600,TW Recon,KS,Public,3.43,nd,1.20,nd,nd,1.13,nd,1.11,nd,nd,NA,9.30,NA,NA,nd,nd,NA,5,16.2,0.01216,465,
IST KY_10_Pub,PFAS Recon,KY,Public,nd,2.64,nd,nd,nd,nd,nd,2.21,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,4.85,0.00001,0.052,
IST KY_11_Pub,PFAS Recon,KY,Public,nd,nd,nd,nd,3.90,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.90,0.00006,1000,
IST KY_5_Pub,PFAS Recon,KY,Public,nd,nd,nd,nd,2.00,nd,nd,4.75,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,6.75,0.00003,500,
IST KY_6_Pub,PFAS Recon,KY,Public,nd,nd,nd,nd,1.80,nd,nd,4.01,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,5.81,0.00003,500,
IST KY_7_Pub,PFAS Recon,KY,Public,nd,nd,nd,nd,nd,nd,nd,2.14,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,2.14,0.00001,0.020,
IST LA_6_Pub,PFAS Recon,LA,Public,nd,nd,nd,nd,3.73,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.73,0.00006,1000,
CC413600070310001,Cape Cod,MA,Private,nd,9.87,13.7,2.42,14.0,nd,nd,2.10,nd,nd,nd,3.16,nd,nd,nd,nd,NA,6,45.3,0.08312,3669,
CC413600070310002,Cape Cod,MA,Private,nd,13.3,20.0,5.96,19.4,2.31,nd,41.9,1.82,8.35,nd,6.54,nd,nd,nd,nd,NA,9,120,0.12227,5189,
CC413700070380001,Cape Cod,MA,Private,nd,nd,nd,nd,2.64,nd,nd,3.57,1.16,6.61,nd,21.7,nd,nd,nd,nd,NA,5,35.7,0.01184,1748,
CC413900070280001,Cape Cod,MA,Private,nd,nd,nd,nd,7.25,nd,nd,7.11,nd,1.51,nd,3.16,nd,nd,nd,nd,NA,4,19.0,0.00182,1972,
CC414000070260001,Cape Cod,MA,Private,nd,2.58,nd,nd,nd,nd,nd,3.28,nd,nd,nd,3.29,nd,nd,nd,nd,NA,3,9.15,0.00179,165,
CC414000070360001,Cape Cod,MA,Private,nd,nd,nd,nd,2.36,nd,nd,7.15,nd,1.00,nd,1.73,nd,nd,nd,nd,NA,4,12.2,0.00098,677,
CC414900069580001,Cape Cod,MA,Private,nd,nd,nd,nd,3.26,nd,nd,4.85,nd,1.65,nd,2.04,nd,nd,nd,nd,NA,4,11.8,0.00115,919,
IST MA_12_Priv,PFAS Recon,MA,Private,nd,nd,nd,nd,nd,nd,nd,3.26,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,3.26,0.00001,0.030,
IST MA_13_Priv,PFAS Recon,MA,Private,nd,nd,nd,nd,5.81,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,5.81,0.00008,1500,
IST MA_15_Priv,PFAS Recon,MA,Private,nd,nd,nd,nd,8.07,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,8.07,0.00011,2000,
CC413700070220001,Cape Cod,MA,Public,nd,1.37,3.16,nd,2.53,nd,nd,1.01,nd,1.04,nd,nd,nd,nd,nd,nd,NA,5,9.12,0.01871,633,
CC413700070260001,Cape Cod,MA,Public,nd,nd,nd,nd,2.30,nd,nd,2.33,nd,2.51,nd,nd,nd,nd,nd,nd,NA,3,7.15,0.00003,576,
CC413900070180001,Cape Cod,MA,Public,nd,2.26,4.47,nd,4.05,nd,nd,2.99,0.986,6.45,nd,7.97,nd,nd,nd,nd,NA,7,29.2,0.03083,1415,
CC414000070130001,Cape Cod,MA,Public,nd,3.87,6.25,nd,4.18,nd,nd,3.11,0.756,3.38,nd,1.89,nd,nd,nd,nd,NA,7,23.4,0.03802,1143,
CC414000070250001,Cape Cod,MA,Public,nd,nd,nd,nd,nd,nd,nd,0.668,nd,0.786,nd,nd,nd,nd,nd,nd,NA,2,1.45,0.00001,0.400,
CC414200069590001,Cape Cod,MA,Public,nd,nd,2.98,nd,1.13,nd,nd,2.44,2.94,12.1,nd,11.0,nd,nd,nd,nd,NA,6,32.7,0.02366,841,
IST MA_14_Pub,PFAS Recon,MA,Public,nd,nd,nd,nd,4.90,nd,nd,3.03,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,7.93,0.00007,1250,
IST MA_3_Pub,PFAS Recon,MA,Public,nd,nd,nd,nd,1.89,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,1.89,0.00003,500,
IST MD_10_Pub,PFAS Recon,MD,Public,nd,nd,nd,nd,nd,nd,nd,3.39,nd,1.24,nd,nd,nd,NA,nd,nd,nd,2,4.63,0.00001,0.530,
IST MD_6_Pub,PFAS Recon,MD,Public,nd,nd,nd,nd,2.70,nd,nd,2.25,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,4.95,0.00004,750,
IST MI_1_Priv,PFAS Recon,MI,Private,nd,nd,nd,nd,nd,nd,2.85,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,2.85,-,0.750,
IST MI_5_Priv,PFAS Recon,MI,Private,11.8,6.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,2,17.9,0.00001,0.071,
IST MI_9_Pub,PFAS Recon,MI,Public,nd,4.58,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,NA,nd,nd,nd,1,4.58,-,0.054,
Recon424439084434101,TW Recon,MI,Public,nd,nd,0.851,nd,nd,nd,nd,nd,nd,nd,NA,nd,NA,NA,nd,nd,NA,1,0.851,0.00503,0.009,
Recon454443087041301,TW Recon,MI,Public,nd,nd,nd,nd,nd,0.852,nd,0.521,nd,nd,NA,nd,NA,NA,nd,nd,NA,2,1.37,0.00002,0.431,
MN92703700008,Minnesota,MN,Public,319,17.6,nd,nd,7.27,nd,nd,3.11,nd,nd,nd,nd,nd,NA,nd,nd,nd,4,347,0.00013,1818,
