SiteCode,Study,number_pfas_sites_proximal,mean_dist_to_pfas_site,Burn_Area_5k_frac,Burn_area_50k_frac,Urbn_burn_5k_frac,Urbn_burn_50k_frac,OpenWater,PerennialIceSnow,DevelopedOpenSpace,DevelopedLowIntensity,DevelopedMediumIntensity,DevelopedHighIntensity,Barren,DeciduousForest,EvergreenForest,MixedForest,DwarfScrub,ShrubScrub,GrasslandHerbaceous,SedgeHerbaceous,Moss,PastureHay,CultivatedCrop,WoodyWetlands,EmergentHerbaceousWetlands
Recon453027122405806,National TapWater Recon,19,3195.75034,NA,0.019987314,NA,0.000315763,0.059541774,0,0.085565517,0.234969992,0.24354144,0.239106747,0.00366693,0.009006897,0.070714451,0.032349197,0,0.000641713,0.001008406,0,0,0.007780767,9.17E-05,0.005626446,0.006348372
01.00S/01.00E-23DC,National TapWater Recon,14,3177.703515,NA,0.03873704,NA,0.000373059,0.059232377,0,0.094984943,0.301341423,0.30924824,0.100221778,0.003517961,0.007173432,0.054958112,0.042880161,0,0.001375099,0.001695955,0,0,0.007849522,3.44E-05,0.007093218,0.008319347
Recon391300121350001,National TapWater Recon,NA,NA,NA,0.051870506,NA,0.001059335,0.017818987,0,0.024797613,0.017200193,0.005523313,0.002887707,0.000240642,0,0,0,0,0,3.44E-05,0,0,0.000114592,0.921155706,0.007941195,0.002257454
03.00S/04.00E-26DBB01,National TapWater Recon,1,4367.428093,0.124777475,0.138208879,0.006238874,0.000790682,0.013819742,0,0.052081864,0.031443924,0.015149004,0.00352942,0.000653172,0.001157375,0.383870264,0.093965078,0,0.102215671,0.065110924,0,0,0.236723243,2.29E-05,0.000160428,8.02E-05
Recon351251097000801,National TapWater Recon,NA,NA,NA,0.008030322,NA,0.000394704,0.000618794,0,0.037952724,0.006210862,0.001386558,3.44E-05,0.000126051,0.57004717,0,0.0008136,0,0.009465263,0.309076353,0,0,0.063884794,0,9.17E-05,0.000217724
Recon353220097305501,National TapWater Recon,5,2019.490507,NA,0.008687313,NA,0.000609882,0.00299084,0,0.115279108,0.219614723,0.29961109,0.142231043,5.73E-05,0.073075037,0.011310187,0.001042783,0,0.002761657,0.124194332,0,0,0.007047381,0.000378152,0.000103132,0.000217724
37N14E7023,Chicago,4,3103.260623,NA,0.0010848,NA,4.20E-05,0,0,0.048930596,0.238419198,0.574722505,0.129992665,0.002142862,0.003025217,0,0.000206265,0,4.58E-05,0.000721927,0,0,0.000446907,0,0.001249048,0
CP414200087400002,Chicago,4,2625.077274,NA,0.000845431,NA,2.67E-05,0,0,0.038330876,0.213380942,0.589195419,0.151318154,0.002108485,0.003025217,0,0.000206265,0,4.58E-05,0.000699009,0,0,0.000446907,0,0.001249048,0
CP414100087320001,Chicago,20,3698.546625,NA,0.000342501,NA,1.27E-05,0.310016004,0,0.030527191,0.084178959,0.28182648,0.21028697,0.018586751,0.011310187,0.000206265,0.000458366,0,0.001936597,0.01465626,0,0,0.003495043,0.001535527,0.015996982,0.014908362
CP414300087320001,Chicago,10,3674.114546,NA,0.0002712,NA,1.02E-05,0.277070931,0,0.027605107,0.085095692,0.344851838,0.203571905,0.014988576,0.009327753,0.000183346,0.000469825,0,0.001466772,0.009728823,0,0,0.001879302,0.001214671,0.009889252,0.01262799
CP414300087330001,Chicago,8,3478.043758,NA,0.0002712,NA,1.02E-05,0.281459787,0,0.026252926,0.083055962,0.353182644,0.20566893,0.013475967,0.006898412,0.000103132,0.000332316,0,0.001214671,0.006313995,0,0,0.001042783,0.00041253,0.008605826,0.012009195
CP413800087270001,Chicago,27,2787.225877,NA,0.0002712,NA,1.02E-05,0.165985873,0,0.022700588,0.073453189,0.245111345,0.381051311,0.021760937,0.011321646,9.17E-05,5.73E-05,0,0.000733386,0.017200193,0,0,0.004503448,0.001936597,0.03067616,0.023365219
CP413800087270002,Chicago,27,2827.58076,NA,0.0002712,NA,1.02E-05,0.151959866,0,0.025324735,0.078793156,0.241902781,0.373499727,0.024831991,0.014851066,9.17E-05,6.88E-05,0,0.00108862,0.017486672,0,0,0.004503448,0.001936597,0.037505817,0.026035202
CP413800087260001,Chicago,26,3305.872975,NA,0.0002712,NA,1.02E-05,0.226639185,0,0.024006932,0.070393595,0.199217425,0.333908344,0.03896113,0.017177275,8.02E-05,4.58E-05,0,0.001386558,0.018495078,0,0,0.004090919,0.002028271,0.038158989,0.025313275
CP413900087260004,Chicago,25,3206.753007,NA,0.0002712,NA,1.02E-05,0.280084689,0,0.017841906,0.052528771,0.184698675,0.349183399,0.035042099,0.007987032,6.88E-05,4.58E-05,0,0.000928192,0.016936632,0,0,0.004136755,0.001856383,0.025622673,0.022975608
CP413800087260003,Chicago,25,3147.709577,NA,0.0002712,NA,1.02E-05,0.258575853,0,0.018621128,0.055576906,0.189500061,0.352369044,0.036314065,0.010095516,8.02E-05,4.58E-05,0,0.001077161,0.017097061,0,0,0.004354479,0.001936597,0.029816724,0.024534053
CP413800087260002,Chicago,27,2826.447253,NA,0.0002712,NA,1.02E-05,0.14362906,0,0.025508081,0.081463139,0.247471931,0.370783908,0.025496622,0.01548132,9.17E-05,6.88E-05,0,0.001168834,0.017899202,0,0,0.004526367,0.001913679,0.038479846,0.026161253
CP413700087270004,Chicago,34,3106.607235,NA,0.000285206,NA,1.02E-05,0.090195016,0,0.032062718,0.110661069,0.30476771,0.334630271,0.017360621,0.017417917,0.000171887,0.000847978,0,0.001271966,0.017761692,0,0,0.004411775,0.002028271,0.040118505,0.026459191
CP413700087260001,Chicago,31,3307.915651,NA,0.0002712,NA,1.02E-05,0.150630604,0,0.028728104,0.094457822,0.255676686,0.323893042,0.032005422,0.019262841,9.17E-05,0.000229183,0,0.001856383,0.018941985,0,0,0.004778468,0.002108485,0.040874809,0.026550864
CP413800087260004,Chicago,27,3132.428837,NA,0.0002712,NA,1.02E-05,0.187173853,0,0.025427867,0.077567026,0.224118171,0.345642519,0.032945073,0.016604317,8.02E-05,4.58E-05,0,0.001317803,0.018552373,0,0,0.004606581,0.002028271,0.038193367,0.025668509
CP413700087270001,Chicago,34,3005.763878,NA,0.000317037,NA,1.02E-05,0.075091849,0,0.031019935,0.110626691,0.315986224,0.345447714,0.01384266,0.016776204,0.000194806,0.000825059,0,0.00108862,0.017326244,0,0,0.004537826,0.001890761,0.039568465,0.025645591
CP413700087280002,Chicago,33,2854.157941,NA,0.000409983,NA,1.66E-05,0.045412635,0,0.028556217,0.110317294,0.344026779,0.367025304,0.008537071,0.012960305,0.000114592,0.000446907,0,0.000481285,0.017074142,0,0,0.005145161,0.002005352,0.034744161,0.023147495
CP413800087280001,Chicago,33,2909.192547,NA,0.000407437,NA,1.66E-05,0.088292796,0,0.027650943,0.08376643,0.309007598,0.383148337,0.013613477,0.011035167,0.000126051,5.73E-05,0,0.000710468,0.017417917,0,0,0.005603527,0.002268913,0.035133772,0.022093253
CP413700087280001,Chicago,34,2918.344424,NA,0.000460913,NA,2.04E-05,0.054751847,0,0.029702132,0.095237045,0.334286496,0.380776291,0.008021409,0.012146705,0.000126051,0.000286479,0,0.000653172,0.017257489,0,0,0.005809792,0.002910626,0.035191068,0.022906853
CP413800087280002,Chicago,34,2982.381111,NA,0.000429082,NA,1.91E-05,0.085943669,0,0.028029095,0.084259173,0.315894551,0.380421058,0.013109274,0.010679933,0.000103132,5.73E-05,0,0.000664631,0.017303325,0,0,0.005110784,0.002200158,0.035202527,0.020993174
CP413700087270002,Chicago,33,3015.502604,NA,0.000327223,NA,1.02E-05,0.068365324,0,0.034847293,0.125764236,0.326230709,0.318312433,0.014908362,0.017807528,0.000183346,0.001237589,0,0.001237589,0.017727314,0,0,0.004652417,0.00217724,0.040278933,0.026218549
CP413700087270003,Chicago,32,2852.174688,NA,0.000406163,NA,1.66E-05,0.045722032,0,0.032864859,0.126566377,0.347544739,0.333873966,0.008857928,0.016317838,0.000183346,0.001168834,0,0.000607335,0.017291866,0,0,0.004789927,0.001890761,0.038239203,0.024052768
CP414400087440001,Chicago,17,3370.946156,NA,0.00104533,NA,4.20E-05,0.001271966,0,0.028487462,0.1490607,0.54695697,0.271341353,0.002074107,0.000206265,0,1.15E-05,0,3.44E-05,0.000229183,0,0,0.000183346,3.44E-05,4.58E-05,0
CP414800087360002,Chicago,14,3909.982502,NA,0.0002712,NA,1.02E-05,0.288518627,0,0.018495078,0.08864803,0.359404966,0.228415355,0.013212407,0.00040107,0,0.000217724,0,0.000687549,0.001546986,0,0,0.000217724,0,0.000229183,2.29E-05
CP414700087350001,Chicago,6,4120.523833,NA,0.0002712,NA,1.02E-05,0.38962276,0,0.017818987,0.075550215,0.319469807,0.181982855,0.012375888,0.00040107,0,0.000217724,0,0.000687549,0.001329262,0,0,0.000217724,0,0.000229183,2.29E-05
CP414700087350002,Chicago,4,3774.949926,NA,0.0002712,NA,1.02E-05,0.389668596,0,0.017841906,0.075263736,0.321669965,0.179988962,0.012398807,0.00040107,0,0.000217724,0,0.000687549,0.001329262,0,0,0.000240642,0,0.000229183,2.29E-05
CP414800087350001,Chicago,6,3994.332388,NA,0.0002712,NA,1.02E-05,0.439997209,0,0.017887742,0.069396648,0.279397139,0.1770325,0.013074897,0.00040107,0,0.000217724,0,0.000687549,0.001432394,0,0,0.000217724,0,0.000229183,2.29E-05
CP414700087340001,Chicago,1,2033.539658,NA,0.0002712,NA,1.02E-05,0.469229516,0,0.017566886,0.064446293,0.275890638,0.156978977,0.012719663,0.00040107,0,0.000217724,0,0.000733386,0.001306344,0,0,0.000252101,0,0.000229183,2.29E-05
CP414700087350004,Chicago,2,3372.901532,NA,0.0002712,NA,1.02E-05,0.477571781,0,0.017429376,0.064434834,0.269301623,0.155351777,0.012673826,0.00040107,0,0.000217724,0,0.000687549,0.001329262,0,0,0.000252101,0,0.000229183,2.29E-05
CP414700087350003,Chicago,4,3892.54274,NA,0.0002712,NA,1.02E-05,0.33898475,0,0.018116925,0.081360007,0.359702904,0.186027937,0.012616531,0.00040107,0,0.000217724,0,0.000699009,0.001306344,0,0,0.000240642,0,0.000229183,2.29E-05
CP414900087360001,Chicago,18,4054.084414,NA,0.0002712,NA,1.02E-05,0.422224058,0,0.011436238,0.053880951,0.244504009,0.251196157,0.014071843,0.000355234,0,0.000160428,0,0.000653172,0.001008406,0,0,0.000217724,0,0.000217724,2.29E-05
CP414600087390001,Chicago,8,3488.690645,NA,0.000292845,NA,1.02E-05,0.002669983,0,0.022219303,0.10466793,0.609054136,0.252273317,0.003724226,0.002681442,0,0.000114592,0,0.000240642,0.001042783,0,0,0.000206265,0,0.00095111,0
CP414800087360001,Chicago,18,3672.745584,NA,0.0002712,NA,1.02E-05,0.318828095,0,0.016443889,0.075699184,0.304870843,0.266803527,0.014048925,0.00040107,0,0.000217724,0,0.000699009,0.001535527,0,0,0.000217724,0,0.000229183,2.29E-05
CP414500087320010,Chicago,2,3101.907782,NA,0.0002712,NA,1.02E-05,0.528966096,0,0.015572993,0.053571554,0.266539966,0.122796315,0.008078705,0.000515662,0,0.000229183,0,0.00067609,0.002223076,0,0,0.000171887,0,0.000252101,0.000435448
CP415400087410001,Chicago,53,3305.914376,NA,NA,NA,NA,0.004045082,0,0.005064947,0.032945073,0.422831394,0.525459594,0.007677634,9.17E-05,0,2.29E-05,0,0.00013751,0.001684496,0,0,1.15E-05,0,0,0
CP415300087360010,Chicago,18,3790.895204,NA,0.0002712,NA,1.02E-05,0.569898201,0,0.002601228,0.015618829,0.097964324,0.30069971,0.012261297,0.000217724,0,0.000103132,0,6.88E-05,0.000469825,0,0,0,0,0,0
CP415800087420001,Chicago,18,3574.61329,NA,NA,NA,NA,0.001271966,0,0.031031394,0.111107976,0.53840844,0.292941861,0.007815144,0.004606581,3.44E-05,0.000504203,0,0.000504203,0.00190222,0,0,0.000217724,1.15E-05,0.009579854,1.15E-05
CP415700087410001,Chicago,14,3710.811928,NA,NA,NA,NA,0.054958112,0,0.025909151,0.087662543,0.469263893,0.336314767,0.01506879,0.002624147,3.44E-05,0.000595876,0,0.000630254,0.001787628,0,0,0.000630254,1.15E-05,0.004388857,1.15E-05
CP415700087440001,Chicago,24,3517.86679,NA,NA,NA,NA,0.000996947,0,0.029312521,0.081039151,0.590455926,0.273919663,0.00652026,0.004915978,3.44E-05,0.000515662,0,0.000515662,0.001340721,0,0,0.000114592,2.29E-05,0.010519505,0
CP415500087410002,Chicago,39,3369.854816,NA,NA,NA,NA,0.003265859,0,0.005076406,0.032807563,0.474363218,0.4751539,0.007517206,0.000286479,0,8.02E-05,0,0.000114592,0.001260507,0,0,0,0,0,0
CP415500087420001,Chicago,43,3581.595935,NA,NA,NA,NA,0.002314749,0,0.004457612,0.030767834,0.508488584,0.446803948,0.00584417,0.00013751,3.44E-05,0,0,1.15E-05,0.001145916,0,0,0,0,0,0
CP415500087460001,Chicago,19,3322.079656,NA,NA,NA,NA,0.000607335,0,0.022597455,0.133911696,0.573335947,0.251494095,0.001443854,0.00190222,0,2.29E-05,0,0,0.00108862,0,0,0.000446907,1.15E-05,0.012811336,0.000240642
CP415500087410001,Chicago,47,3434.016275,NA,NA,NA,NA,0.00434302,0,0.005202457,0.031019935,0.452785627,0.493488549,0.010783066,0.000446907,0,0.000183346,0,0.000114592,0.001512609,0,0,0,0,0,0
CP415400087420001,Chicago,53,3559.221189,NA,NA,NA,NA,0.003071054,0,0.004744091,0.030481355,0.490532087,0.462697797,0.006737984,9.17E-05,0,2.29E-05,0,1.15E-05,0.001546986,0,0,0,0,0,0
CP415400087420002,Chicago,54,3559.764524,NA,NA,NA,NA,0.003093972,0,0.004675336,0.030343845,0.482636728,0.470455646,0.006967167,6.88E-05,0,2.29E-05,0,1.15E-05,0.001592823,0,0,0,0,0,0
CP415800087390002,Chicago,2,3918.753835,NA,NA,NA,NA,0.404943651,0,0.016203246,0.053296534,0.284886075,0.219935579,0.016077196,0.000790682,3.44E-05,0.000114592,0,0.000630254,0.001844924,0,0,0.000790682,1.15E-05,0.000355234,0
CP415800087390001,Chicago,6,3978.72019,NA,NA,NA,NA,0.412002491,0,0.016031359,0.048518066,0.263285566,0.238946319,0.016741827,0.000928192,3.44E-05,0.000217724,0,0.000492744,0.001638659,0,0,0.000790682,1.15E-05,0.000355234,0
CP415600087380001,Chicago,18,3479.486005,NA,NA,NA,NA,0.399363042,0,0.009258998,0.027192577,0.2332282,0.309729525,0.017417917,0.000928192,0,0.000252101,0,0.000286479,0.00135218,0,0,0.000584417,0,0.000297938,0
CP420000087380001,Chicago,13,4461.781598,NA,NA,NA,NA,0.45396592,0,0.015000035,0.10643264,0.246417689,0.161218864,0.013624936,0.000378152,0,6.88E-05,0,0.000492744,0.001707414,0,0,0.00067609,0,0,1.15E-05
AHS001,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.013074897,0,0.027353005,0.011424778,0.002669983,0.000206265,0,0.058498991,0.000252101,0.01453021,0,8.02E-05,0.010393454,0,0,0.125225656,0.695914538,0.03434309,0.005947302
AHS002,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.005362885,0,0.032406493,0.017211652,0.004847223,0.00053858,0.001329262,0.009270457,0.00013751,0.001317803,0,0,0.00529413,0,0,0.060756445,0.845250258,0.012605071,0.003632552
IA415800091020003,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.005225375,0,0.02823536,0.022104712,0.003861736,0.000297938,0.001615741,0.198850732,0.004812845,0.021073388,0,0.000297938,0.035374414,0,0,0.105653417,0.559172431,0.009258998,0.004159674
AHS004,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000126051,0,0.021428622,0.014610424,0.004675336,0.000389611,0.000332316,0.02185261,6.88E-05,0.003999245,0,0,0.016730368,0,0,0.037299552,0.874436728,0.003861736,0.000286479
AHS005,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.024511134,0,0.034721242,0.022746424,0.007081758,0.000664631,0.002738738,0.07575648,0.003712767,0.01181439,0,9.17E-05,0.018151303,0,0,0.06190236,0.727599104,0.006577555,0.001879302
AHS006,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000309397,0,0.027547811,0.014679179,0.004308643,0.000194806,0,0.02347981,0.000114592,0.004847223,0,0,0.001432394,0,0,0.042605142,0.878390137,0.001558445,0.000527121
IA415800091020007,Northeast Iowa,2,4460.172747,NA,NA,NA,NA,0.012364429,0,0.039327823,0.041573818,0.024534053,0.004514907,0.002784575,0.188984399,0.001111538,0.027032149,0,0.000309397,0.014083303,0,0,0.17770859,0.457919329,0.006726525,0.001145916
AHS008,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000653172,0,0.029770887,0.017876283,0.003999245,0.000252101,0.00013751,0.039362201,0.000229183,0.006291077,0,0,0.01181439,0,0,0.035935913,0.85227472,0.001180293,0.00027502
AHS009,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.004789927,0,0.018827393,0.015813635,0.003781521,0.000309397,0.000171887,0.151386909,0.000206265,0.009350671,0,0.000320856,0.01778461,0,0,0.116310432,0.658454557,0.001867842,0.000572958
AHS010,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.001214671,0,0.023938177,0.02347981,0.012089409,0.00108862,0.000435448,0.013808283,0.000939651,0.00678382,0,0,0.009877792,0,0,0.052608985,0.85106005,0.002314749,0.000309397
AHS011,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.01370515,0,0.023857963,0.013258243,0.002532473,0.000114592,0.000859437,0.212120435,0.001650118,0.027410301,0,2.29E-05,0.018426323,0,0,0.153999596,0.514871334,0.014816689,0.002429341
IA420200091180012,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.003426288,0,0.029083338,0.025886233,0.012593612,0.000802141,0.001695955,0.100175941,0.000492744,0.0176471,0,0.000206265,0.009728823,0,0,0.124469351,0.672572237,0.000836518,0.000355234
AHS013,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000183346,0,0.021291112,0.014610424,0.005076406,0.000389611,0.000263561,0.02254016,0.000297938,0.004778468,0,0,0.015802176,0,0,0.037104747,0.876075387,0.001157375,0.000378152
AHS014,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.001042783,0,0.027158199,0.017601263,0.003575257,0.000297938,0.000710468,0.145302097,0.00095111,0.012880091,0,0.000366693,0.018231517,0,0,0.184480951,0.586536895,0.000458366,0.000423989
AHS015,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000664631,0,0.02335376,0.032819023,0.009889252,0.001237589,0.001787628,0.040290392,0.003059595,0.009385049,0,0,0.021749478,0,0,0.056058191,0.794417442,0.003552338,0.001650118
AHS016,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.00095111,0,0.017074142,0.019113872,0.004789927,0.00040107,8.02E-05,0.072524998,0.000126051,0.005683741,0,0,0.014026007,0,0,0.078231657,0.786224146,0.000309397,0.000481285
AHS017,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000263561,0,0.018609669,0.018678424,0.003265859,0.000343775,0.000527121,0.121432675,0.000790682,0.030584487,0,0.000286479,0.016936632,0,0,0.252788979,0.535314468,0,0.00013751
IA420200091180018,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000355234,0,0.020832745,0.012754041,0.002406423,0.000297938,0.000103132,0.101585417,0.001398017,0.035500465,0,2.29E-05,0.015229218,0,0,0.210390102,0.598866947,0.000114592,0.000171887
AHS019,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.0008136,0,0.025496622,0.019239923,0.004010705,0.000343775,0.000939651,0.138965184,0.004652417,0.065867228,0,0.000515662,0.026711292,0,0,0.276612564,0.435757322,8.02E-05,1.15E-05
AHS020,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.001283425,0,0.020706695,0.022219303,0.004377398,0.00041253,0.001718873,0.095867298,0.000859437,0.011917522,0,0.000194806,0.025920611,0,0,0.046902325,0.758653417,0.005317048,0.00352942
AHS021,Northeast Iowa,1,1498.610386,NA,NA,NA,NA,0.004308643,0,0.028315574,0.048907677,0.024614267,0.006130648,0.00461804,0.026539405,0.000126051,0.004320102,0,5.73E-05,0.016203246,0,0,0.044656331,0.787965937,0.002452259,0.000699009
AHS022,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.001833465,0,0.036428657,0.042639519,0.025175766,0.005798333,0.001890761,0.067139194,0.001776169,0.013464508,0,1.15E-05,0.013854119,0,0,0.068090304,0.718363024,0.002773116,0.000721927
IA420200091180023,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000366693,0,0.024293411,0.020168114,0.006623392,0.000435448,0.000217724,0.025210143,6.88E-05,0.003907572,0,0,0.011837308,0,0,0.073407353,0.832083688,0.000126051,0.001249048
IA420200091180024,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.057536422,0,0.023067281,0.015217759,0.004090919,0.000217724,9.17E-05,0.33898475,0.004789927,0.079858857,0,0.004606581,0.011768553,0,0,0.277517838,0.136913995,0.041298798,0.004010705
AHS025,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000527121,0,0.033758673,0.044942809,0.025553918,0.006531719,0.001844924,0.038835079,0.001604282,0.010783066,0,1.15E-05,0.015676125,0,0,0.061730473,0.756224075,0.001569904,0.000446907
AHS026,Northeast Iowa,1,1550.3404,NA,NA,NA,NA,0.005305589,0,0.039144477,0.057742687,0.033483654,0.009006897,0.00556915,0.058407318,0.001822006,0.013235325,0,6.88E-05,0.018724261,0,0,0.068605966,0.684203281,0.003758603,0.000962569
AHS027,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.028819777,0,0.035282741,0.029152093,0.008525612,0.00136364,0.000343775,0.169595507,0.001661578,0.018116925,0,6.88E-05,0.026436273,0,0,0.100829113,0.576177818,0.00122613,0.002314749
AHS028,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.000515662,0,0.022058875,0.022322436,0.005752496,0.000297938,0.000378152,0.033655541,0.001466772,0.006692147,0,1.15E-05,0.00937359,0,0,0.052712117,0.837114257,0.001546986,0.006119189
AHS029,Northeast Iowa,1,2228.786454,NA,NA,NA,NA,0.008640204,0,0.023101658,0.028178064,0.01072577,0.001925138,0.000790682,0.076226305,0.000893814,0.027685321,0,0.000744845,0.037219338,0,0,0.131333386,0.639913643,0.009442344,0.003002299
AHS030,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.037345389,0,0.021680723,0.016352215,0.002692902,0.000194806,4.58E-05,0.147823111,0.001673037,0.055851926,0,0.001191752,0.029152093,0,0,0.215833201,0.371998578,0.059404264,0.038709029
AHS031,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.001661578,0,0.02321625,0.020546267,0.003701307,0.000332316,0.000458366,0.142357094,0.002337668,0.056081109,0,0.00136364,0.02837287,0,0,0.260088462,0.455616039,0.003036676,0.000710468
AHS032,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.00176471,0,0.02538203,0.014346863,0.002922085,0.000229183,0.000458366,0.157047732,0.001844924,0.038949671,0,0.000183346,0.017807528,0,0,0.265611775,0.471819285,0.001168834,0.000435448
AHS033,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.005546231,0,0.027662402,0.015996982,0.003460665,0.000229183,0.000446907,0.136226445,0.00040107,0.012501939,0,1.15E-05,0.014587505,0,0,0.082471545,0.692133017,0.007310941,0.000974028
AHS034,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.023938177,0,0.024132982,0.030939721,0.016799123,0.003621093,0.002543933,0.010106976,0,0.004159674,0,6.88E-05,0.044507362,0,0,0.044083373,0.6755287,0.074541809,0.044919891
AHS035,Northeast Iowa,NA,NA,NA,0.001019865,NA,1.15E-05,0.020798368,0,0.016180328,0.022116171,0.005305589,0.000206265,0,0.07290315,0.000779223,0.020993174,0,0.000343775,0.047727384,0,0,0.159018706,0.417926875,0.075412705,0.140363201
AHS036,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.016226165,0,0.02688318,0.010301781,0.002498096,0.000160428,0.001180293,0.078426463,0.00027502,0.015572993,0,4.58E-05,0.009167325,0,0,0.158583259,0.646479739,0.025851856,0.008296429
AHS037,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.005374344,0,0.031993963,0.017899202,0.005110784,0.00053858,0.001329262,0.00692133,4.58E-05,0.001317803,0,0,0.00475555,0,0,0.060596016,0.847484793,0.013074897,0.003689848
AHS038,Northeast Iowa,NA,NA,NA,NA,NA,NA,0.001970975,0,0.029060419,0.024041309,0.007253646,0.001478231,0.000263561,0.0024408,8.02E-05,0.001294885,0,0,0.001271966,0,0,0.031478301,0.895876808,0.001879302,0.001592823
